USDCAD Curncy,,,S&P 500 Total Return Index,,,S&P/TSX Composite Total Return Index,,,USGG2YR Index,,,USGG12M Index,,,GCAN2YR Index,,,GCAN12M Index,,,CL1 Comdty,,,Spread of Canadian and US 2 Year Rates,,,Spread of Canadian and US 1 Year Rates,1.2659,,XAU Curncy,,,HG1 Comdty,,,US0003M Index,,,GCAN3M Index,,,DXY Curncy,,,DXY Curncy,,,EURUSD Curncy,,,USDJPY Curncy,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
5/22/2012,1.02,,5/22/2012,"2,279.4040",,5/22/2012,"32,219.9300",,5/22/2012,0.2905,,5/22/2012,0.1878,,5/22/2012,1.2100,,5/22/2012,1.1770,,5/22/2012,91.6600,,5/22/2012,-0.9195,,5/22/2012,-0.9892,,5/22/2012,1568.5,,7/5/2012,348.8,,7/4/2012,0.4596,,10/1/2012,0.971,,5/28/2012,82.402,,5/28/2012,82.402,,5/22/2012,1/1/1900,,5/22/2012,79.96
5/23/2012,1.03,,5/23/2012,"2,283.3560",,5/23/2012,"32,548.9600",,5/23/2012,0.2892,,5/23/2012,0.1878,,5/23/2012,1.1540,,5/23/2012,1.0850,,5/23/2012,89.9000,,5/23/2012,-0.8648,,5/23/2012,-0.8972,,5/23/2012,1561.53,,7/6/2012,340.45,,7/5/2012,0.4596,,10/2/2012,0.962,,5/29/2012,82.48,,5/29/2012,82.48,,5/23/2012,1/1/1900,,5/23/2012,79.47
5/24/2012,1.03,,5/24/2012,"2,286.8670",,5/24/2012,"32,552.6800",,5/24/2012,0.2970,,5/24/2012,0.1878,,5/24/2012,1.1400,,5/24/2012,1.0760,,5/24/2012,90.6600,,5/24/2012,-0.8430,,5/24/2012,-0.8882,,5/24/2012,1559.3,,7/9/2012,342.6,,7/6/2012,0.4576,,10/3/2012,0.961,,5/30/2012,83.018,,5/30/2012,83.018,,5/24/2012,1/1/1900,,5/24/2012,79.6
5/25/2012,1.03,,5/25/2012,"2,281.9240",,5/25/2012,"32,581.9600",,5/25/2012,0.2853,,5/25/2012,0.1878,,5/25/2012,1.0850,,5/25/2012,1.0760,,5/25/2012,90.8600,,5/25/2012,-0.7997,,5/25/2012,-0.8882,,5/25/2012,1573,,7/10/2012,339.3,,7/9/2012,0.4576,,10/4/2012,0.959,,5/31/2012,83.043,,5/31/2012,83.043,,5/25/2012,1/1/1900,,5/25/2012,79.68
5/28/2012,1.02,,5/28/2012,"2,281.9240",,5/28/2012,"32,558.3900",,5/28/2012,0.2853,,5/28/2012,0.1878,,5/28/2012,1.0860,,5/28/2012,1.0760,,5/28/2012,90.8600,,5/28/2012,-0.8007,,5/28/2012,-0.8882,,5/28/2012,1573.33,,7/11/2012,344.3,,7/10/2012,0.4576,,10/5/2012,0.969,,6/1/2012,82.89,,6/1/2012,82.89,,5/28/2012,1/1/1900,,5/28/2012,79.47
5/29/2012,1.02,,5/29/2012,"2,307.5710",,5/29/2012,"32,695.7900",,5/29/2012,0.2892,,5/29/2012,0.1827,,5/29/2012,1.1620,,5/29/2012,1.0600,,5/29/2012,90.7600,,5/29/2012,-0.8728,,5/29/2012,-0.8773,,5/29/2012,1555.34,,7/12/2012,341.15,,7/11/2012,0.4561,,10/9/2012,0.97,,6/4/2012,82.557,,6/4/2012,82.557,,5/29/2012,1/1/1900,,5/29/2012,79.49
5/30/2012,1.03,,5/30/2012,"2,275.1860",,5/30/2012,"32,205.6300",,5/30/2012,0.2657,,5/30/2012,0.1726,,5/30/2012,1.1170,,5/30/2012,1.0320,,5/30/2012,87.8200,,5/30/2012,-0.8513,,5/30/2012,-0.8594,,5/30/2012,1562.93,,7/13/2012,350.05,,7/12/2012,0.4551,,10/10/2012,0.987,,6/5/2012,82.825,,6/5/2012,82.825,,5/30/2012,1/1/1900,,5/30/2012,79.07
5/31/2012,1.03,,5/31/2012,"2,270.2500",,5/31/2012,"32,435.7100",,5/31/2012,0.2618,,5/31/2012,0.1777,,5/31/2012,1.0630,,5/31/2012,1.0300,,5/31/2012,86.5300,,5/31/2012,-0.8012,,5/31/2012,-0.8523,,5/31/2012,1560.51,,7/16/2012,348.1,,7/13/2012,0.4551,,10/11/2012,0.978,,6/6/2012,82.321,,6/6/2012,82.321,,5/31/2012,1/1/1900,,5/31/2012,78.32
6/1/2012,1.04,,6/1/2012,"2,214.4060",,6/1/2012,"32,007.4700",,6/1/2012,0.2461,,6/1/2012,0.1675,,6/1/2012,0.8800,,6/1/2012,0.8960,,6/1/2012,83.2300,,6/1/2012,-0.6339,,6/1/2012,-0.7285,,6/1/2012,1624,,7/17/2012,345.3,,7/16/2012,0.4551,,10/12/2012,0.981,,6/7/2012,82.051,,6/7/2012,82.051,,6/1/2012,1/1/1900,,6/1/2012,78.02
6/4/2012,1.04,,6/4/2012,"2,214.7010",,6/4/2012,"31,935.8400",,6/4/2012,0.2500,,6/4/2012,0.1726,,6/4/2012,0.9750,,6/4/2012,0.8960,,6/4/2012,83.9800,,6/4/2012,-0.7250,,6/4/2012,-0.7234,,6/4/2012,1619,,7/18/2012,347.3,,7/17/2012,0.4551,,10/15/2012,0.977,,6/8/2012,82.511,,6/8/2012,82.511,,6/4/2012,1/1/1900,,6/4/2012,78.34
6/5/2012,1.04,,6/5/2012,"2,227.4530",,6/5/2012,"32,420.2300",,6/5/2012,0.2500,,6/5/2012,0.1726,,6/5/2012,0.9920,,6/5/2012,0.9900,,6/5/2012,84.2900,,6/5/2012,-0.7420,,6/5/2012,-0.8174,,6/5/2012,1617.05,,7/19/2012,353.4,,7/18/2012,0.4551,,10/16/2012,0.968,,6/11/2012,82.515,,6/11/2012,82.515,,6/5/2012,1/1/1900,,6/5/2012,78.75
6/6/2012,1.03,,6/6/2012,"2,279.4180",,6/6/2012,"32,787.1000",,6/6/2012,0.2619,,6/6/2012,0.1726,,6/6/2012,1.0550,,6/6/2012,0.9900,,6/6/2012,85.0200,,6/6/2012,-0.7931,,6/6/2012,-0.8174,,6/6/2012,1619.55,,7/20/2012,344.85,,7/19/2012,0.4531,,10/17/2012,0.974,,6/12/2012,82.423,,6/12/2012,82.423,,6/6/2012,1/1/1900,,6/6/2012,79.19
6/7/2012,1.03,,6/7/2012,"2,279.2770",,6/7/2012,"32,670.7600",,6/7/2012,0.2658,,6/7/2012,0.1675,,6/7/2012,1.0490,,6/7/2012,0.9900,,6/7/2012,84.8200,,6/7/2012,-0.7832,,6/7/2012,-0.8225,,6/7/2012,1589.32,,7/23/2012,338.15,,7/20/2012,0.4521,,10/18/2012,0.973,,6/13/2012,82.058,,6/13/2012,82.058,,6/7/2012,1/1/1900,,6/7/2012,79.63
6/8/2012,1.03,,6/8/2012,"2,297.8150",,6/8/2012,"32,412.9100",,6/8/2012,0.2659,,6/8/2012,0.1675,,6/8/2012,1.0380,,6/8/2012,0.9900,,6/8/2012,84.1000,,6/8/2012,-0.7721,,6/8/2012,-0.8225,,6/8/2012,1593.4,,7/24/2012,335.3,,7/23/2012,0.4511,,10/19/2012,0.968,,6/14/2012,81.99,,6/14/2012,81.99,,6/8/2012,1/1/1900,,6/8/2012,79.49
6/11/2012,1.03,,6/11/2012,"2,268.9390",,6/11/2012,"32,134.5000",,6/11/2012,0.2659,,6/11/2012,0.1675,,6/11/2012,0.9990,,6/11/2012,0.9900,,6/11/2012,82.7000,,6/11/2012,-0.7331,,6/11/2012,-0.8225,,6/11/2012,1596.8,,7/25/2012,337.5,,7/24/2012,0.4481,,10/22/2012,0.967,,6/15/2012,81.628,,6/15/2012,81.628,,6/11/2012,1/1/1900,,6/11/2012,79.44
6/12/2012,1.03,,6/12/2012,"2,295.4010",,6/12/2012,"32,404.5800",,6/12/2012,0.2899,,6/12/2012,0.1726,,6/12/2012,1.0230,,6/12/2012,0.9900,,6/12/2012,83.3200,,6/12/2012,-0.7331,,6/12/2012,-0.8174,,6/12/2012,1609.71,,7/26/2012,339.4,,7/25/2012,0.4481,,10/23/2012,0.981,,6/18/2012,81.946,,6/18/2012,81.946,,6/12/2012,1/1/1900,,6/12/2012,79.53
6/13/2012,1.03,,6/13/2012,"2,280.1290",,6/13/2012,"32,444.4600",,6/13/2012,0.2900,,6/13/2012,0.1675,,6/13/2012,1.0310,,6/13/2012,1.0120,,6/13/2012,82.6200,,6/13/2012,-0.7410,,6/13/2012,-0.8445,,6/13/2012,1617.16,,7/27/2012,342.6,,7/26/2012,0.4471,,10/24/2012,0.996,,6/19/2012,81.378,,6/19/2012,81.378,,6/13/2012,1/1/1900,,6/13/2012,79.48
6/14/2012,1.02,,6/14/2012,"2,304.8290",,6/14/2012,"32,355.8700",,6/14/2012,0.2940,,6/14/2012,0.1675,,6/14/2012,1.0450,,6/14/2012,1.0120,,6/14/2012,83.9100,,6/14/2012,-0.7510,,6/14/2012,-0.8445,,6/14/2012,1623.6,,7/30/2012,341.6,,7/27/2012,0.4466,,10/25/2012,0.997,,6/20/2012,81.583,,6/20/2012,81.583,,6/14/2012,1/1/1900,,6/14/2012,79.35
6/15/2012,1.02,,6/15/2012,"2,328.6600",,6/15/2012,"32,520.9600",,6/15/2012,0.2701,,6/15/2012,0.1624,,6/15/2012,0.9630,,6/15/2012,1.0120,,6/15/2012,84.0300,,6/15/2012,-0.6929,,6/15/2012,-0.8496,,6/15/2012,1627.1,,7/31/2012,341.75,,7/30/2012,0.4446,,10/26/2012,0.997,,6/21/2012,82.29,,6/21/2012,82.29,,6/15/2012,1/1/1900,,6/15/2012,78.73
6/18/2012,1.02,,6/18/2012,"2,332.0660",,6/18/2012,"32,736.0700",,6/18/2012,0.2822,,6/18/2012,0.1675,,6/18/2012,0.9800,,6/18/2012,1.0120,,6/18/2012,83.2700,,6/18/2012,-0.6978,,6/18/2012,-0.8445,,6/18/2012,1628.09,,8/1/2012,337.5,,7/31/2012,0.4426,,10/29/2012,0.989,,6/22/2012,82.256,,6/22/2012,82.256,,6/18/2012,1/1/1900,,6/18/2012,79.11
6/19/2012,1.02,,6/19/2012,"2,355.0140",,6/19/2012,"33,265.0000",,6/19/2012,0.2903,,6/19/2012,0.1675,,6/19/2012,1.0420,,6/19/2012,1.0120,,6/19/2012,84.0300,,6/19/2012,-0.7517,,6/19/2012,-0.8445,,6/19/2012,1618.39,,8/2/2012,329.05,,8/1/2012,0.4416,,10/30/2012,0.99,,6/25/2012,82.497,,6/25/2012,82.497,,6/19/2012,1/1/1900,,6/19/2012,78.95
6/20/2012,1.02,,6/20/2012,"2,351.1400",,6/20/2012,"33,186.2000",,6/20/2012,0.3105,,6/20/2012,0.1726,,6/20/2012,1.0940,,6/20/2012,1.0120,,6/20/2012,81.8000,,6/20/2012,-0.7835,,6/20/2012,-0.8394,,6/20/2012,1607.5,,8/3/2012,336.75,,8/2/2012,0.44185,,10/31/2012,0.992,,6/26/2012,82.372,,6/26/2012,82.372,,6/20/2012,1/1/1900,,6/20/2012,79.54
6/21/2012,1.03,,6/21/2012,"2,299.1560",,6/21/2012,"32,196.8100",,6/21/2012,0.2985,,6/21/2012,0.1726,,6/21/2012,1.0480,,6/21/2012,0.9900,,6/21/2012,78.2000,,6/21/2012,-0.7495,,6/21/2012,-0.8174,,6/21/2012,1566.37,,8/6/2012,338.9,,8/3/2012,0.43935,,11/1/2012,0.994,,6/27/2012,82.618,,6/27/2012,82.618,,6/21/2012,1/1/1900,,6/21/2012,80.28
6/22/2012,1.02,,6/22/2012,"2,315.6510",,6/22/2012,"32,273.6600",,6/22/2012,0.3028,,6/22/2012,0.1726,,6/22/2012,1.0630,,6/22/2012,1.0030,,6/22/2012,79.7600,,6/22/2012,-0.7602,,6/22/2012,-0.8304,,6/22/2012,1572.43,,8/7/2012,344.05,,8/6/2012,0.43885,,11/2/2012,0.99,,6/28/2012,82.807,,6/28/2012,82.807,,6/22/2012,1/1/1900,,6/22/2012,80.43
6/25/2012,1.03,,6/25/2012,"2,278.9810",,6/25/2012,"31,976.9000",,6/25/2012,0.2947,,6/25/2012,0.1726,,6/25/2012,0.9980,,6/25/2012,0.9640,,6/25/2012,79.2100,,6/25/2012,-0.7033,,6/25/2012,-0.7914,,6/25/2012,1584.38,,8/8/2012,342.15,,8/7/2012,0.43785,,11/5/2012,0.989,,6/29/2012,81.627,,6/29/2012,81.627,,6/25/2012,1/1/1900,,6/25/2012,79.66
6/26/2012,1.02,,6/26/2012,"2,289.8590",,6/26/2012,"31,999.8100",,6/26/2012,0.3070,,6/26/2012,0.1827,,6/26/2012,1.0100,,6/26/2012,0.9700,,6/26/2012,79.3600,,6/26/2012,-0.7030,,6/26/2012,-0.7873,,6/26/2012,1572.86,,8/9/2012,342.5,,8/8/2012,0.43675,,11/6/2012,0.979,,7/2/2012,81.87,,7/2/2012,81.87,,6/26/2012,1/1/1900,,6/26/2012,79.52
6/27/2012,1.02,,6/27/2012,"2,310.9810",,6/27/2012,"32,251.4500",,6/27/2012,0.3090,,6/27/2012,0.1980,,6/27/2012,0.9920,,6/27/2012,0.9660,,6/27/2012,80.2100,,6/27/2012,-0.6830,,6/27/2012,-0.7680,,6/27/2012,1574.19,,8/10/2012,339.25,,8/9/2012,0.4375,,11/7/2012,0.99,,7/3/2012,81.782,,7/3/2012,81.782,,6/27/2012,1/1/1900,,6/27/2012,79.72
6/28/2012,1.03,,6/28/2012,"2,306.2230",,6/28/2012,"32,306.8300",,6/28/2012,0.3011,,6/28/2012,0.2031,,6/28/2012,0.9540,,6/28/2012,0.9400,,6/28/2012,77.6900,,6/28/2012,-0.6529,,6/28/2012,-0.7369,,6/28/2012,1552.68,,8/13/2012,335.35,,8/10/2012,0.437,,11/8/2012,0.983,,7/4/2012,81.782,,7/4/2012,81.782,,6/28/2012,1/1/1900,,6/28/2012,79.46
6/29/2012,1.02,,6/29/2012,"2,363.7890",,6/29/2012,"32,792.8300",,6/29/2012,0.3011,,6/29/2012,0.2031,,6/29/2012,1.0260,,6/29/2012,0.9860,,6/29/2012,84.9600,,6/29/2012,-0.7249,,6/29/2012,-0.7829,,6/29/2012,1597.45,,8/14/2012,335.9,,8/13/2012,0.4345,,11/9/2012,0.979,,7/5/2012,82.813,,7/5/2012,82.813,,6/29/2012,1/1/1900,,6/29/2012,79.79
7/2/2012,1.02,,7/2/2012,"2,369.7500",,7/2/2012,"32,792.8300",,7/2/2012,0.2933,,7/2/2012,0.1980,,7/2/2012,1.0300,,7/2/2012,0.9860,,7/2/2012,83.7500,,7/2/2012,-0.7367,,7/2/2012,-0.7880,,7/2/2012,1597.01,,8/15/2012,334.95,,8/14/2012,0.4365,,11/13/2012,0.978,,7/6/2012,83.377,,7/6/2012,83.377,,7/2/2012,1/1/1900,,7/2/2012,79.51
7/3/2012,1.01,,7/3/2012,"2,385.0560",,7/3/2012,"33,521.5500",,7/3/2012,0.3013,,7/3/2012,0.1980,,7/3/2012,1.0400,,7/3/2012,0.9820,,7/3/2012,87.6600,,7/3/2012,-0.7387,,7/3/2012,-0.7840,,7/3/2012,1617.45,,8/16/2012,338.25,,8/15/2012,0.4345,,11/14/2012,0.977,,7/9/2012,83.161,,7/9/2012,83.161,,7/3/2012,1/1/1900,,7/3/2012,79.79
7/4/2012,1.01,,7/4/2012,"2,385.0560",,7/4/2012,"33,706.4300",,7/4/2012,0.3013,,7/4/2012,0.1980,,7/4/2012,1.0280,,7/4/2012,0.9820,,7/4/2012,87.6600,,7/4/2012,-0.7267,,7/4/2012,-0.7840,,7/4/2012,1615.65,,8/17/2012,341.95,,8/16/2012,0.4335,,11/15/2012,0.978,,7/10/2012,83.4,,7/10/2012,83.4,,7/4/2012,1/1/1900,,7/4/2012,79.88
7/5/2012,1.01,,7/5/2012,"2,373.9120",,7/5/2012,"33,433.5500",,7/5/2012,0.2856,,7/5/2012,0.1878,,7/5/2012,1.0270,,7/5/2012,0.9820,,7/5/2012,87.2200,,7/5/2012,-0.7414,,7/5/2012,-0.7942,,7/5/2012,1604.58,,8/20/2012,337.1,,8/17/2012,0.4345,,11/16/2012,0.97,,7/11/2012,83.568,,7/11/2012,83.568,,7/5/2012,1/1/1900,,7/5/2012,79.92
7/6/2012,1.02,,7/6/2012,"2,352.3440",,7/6/2012,"32,989.6100",,7/6/2012,0.2698,,7/6/2012,0.1827,,7/6/2012,0.9800,,7/6/2012,0.9570,,7/6/2012,84.4500,,7/6/2012,-0.7102,,7/6/2012,-0.7743,,7/6/2012,1583.85,,8/21/2012,345.3,,8/20/2012,0.4335,,11/20/2012,0.96,,7/12/2012,83.659,,7/12/2012,83.659,,7/6/2012,1/1/1900,,7/6/2012,79.66
7/9/2012,1.02,,7/9/2012,"2,348.5170",,7/9/2012,"32,918.0800",,7/9/2012,0.2619,,7/9/2012,0.1827,,7/9/2012,0.9580,,7/9/2012,0.9390,,7/9/2012,85.9900,,7/9/2012,-0.6961,,7/9/2012,-0.7563,,7/9/2012,1587.65,,8/22/2012,345.45,,8/21/2012,0.4335,,11/21/2012,0.979,,7/13/2012,83.349,,7/13/2012,83.349,,7/9/2012,1/1/1900,,7/9/2012,79.56
7/10/2012,1.02,,7/10/2012,"2,329.4590",,7/10/2012,"32,572.0700",,7/10/2012,0.2659,,7/10/2012,0.1827,,7/10/2012,0.9630,,7/10/2012,0.9420,,7/10/2012,83.9100,,7/10/2012,-0.6971,,7/10/2012,-0.7593,,7/10/2012,1567.15,,8/23/2012,349.25,,8/22/2012,0.43075,,11/22/2012,0.963,,7/16/2012,83.098,,7/16/2012,83.098,,7/10/2012,1/1/1900,,7/10/2012,79.43
7/11/2012,1.02,,7/11/2012,"2,329.7080",,7/11/2012,"32,667.5400",,7/11/2012,0.2619,,7/11/2012,0.1827,,7/11/2012,0.9960,,7/11/2012,0.9430,,7/11/2012,85.8100,,7/11/2012,-0.7341,,7/11/2012,-0.7603,,7/11/2012,1576.38,,8/24/2012,348.35,,8/23/2012,0.42685,,11/23/2012,0.961,,7/17/2012,83.032,,7/17/2012,83.032,,7/11/2012,1/1/1900,,7/11/2012,79.76
7/12/2012,1.02,,7/12/2012,"2,318.0930",,7/12/2012,"32,330.8900",,7/12/2012,0.2540,,7/12/2012,0.1827,,7/12/2012,0.9670,,7/12/2012,0.9350,,7/12/2012,86.0800,,7/12/2012,-0.7130,,7/12/2012,-0.7523,,7/12/2012,1571.73,,8/27/2012,347.65,,8/24/2012,0.42485,,11/27/2012,0.962,,7/18/2012,83.068,,7/18/2012,83.068,,7/12/2012,1/1/1900,,7/12/2012,79.31
7/13/2012,1.01,,7/13/2012,"2,356.3980",,7/13/2012,"32,583.3100",,7/13/2012,0.2380,,7/13/2012,0.1675,,7/13/2012,0.9860,,7/13/2012,0.9550,,7/13/2012,87.1000,,7/13/2012,-0.7480,,7/13/2012,-0.7875,,7/13/2012,1589.6,,8/28/2012,346.25,,8/28/2012,0.42275,,11/28/2012,0.958,,7/19/2012,82.883,,7/19/2012,82.883,,7/13/2012,1/1/1900,,7/13/2012,79.18
7/16/2012,1.02,,7/16/2012,"2,350.9440",,7/16/2012,"32,602.1200",,7/16/2012,0.2259,,7/16/2012,0.1624,,7/16/2012,0.9590,,7/16/2012,0.9480,,7/16/2012,88.4300,,7/16/2012,-0.7331,,7/16/2012,-0.7856,,7/16/2012,1589.4,,8/29/2012,344.25,,8/29/2012,0.42175,,11/29/2012,0.961,,7/20/2012,83.478,,7/20/2012,83.478,,7/16/2012,1/1/1900,,7/16/2012,78.87
7/17/2012,1.01,,7/17/2012,"2,368.3640",,7/17/2012,"32,744.7600",,7/17/2012,0.2379,,7/17/2012,0.1675,,7/17/2012,0.9730,,7/17/2012,0.9700,,7/17/2012,89.2200,,7/17/2012,-0.7351,,7/17/2012,-0.8025,,7/17/2012,1583.41,,8/30/2012,344.05,,8/30/2012,0.42075,,11/30/2012,0.958,,7/23/2012,83.706,,7/23/2012,83.706,,7/17/2012,1/1/1900,,7/17/2012,79.06
7/18/2012,1.01,,7/18/2012,"2,384.5440",,7/18/2012,"32,767.4100",,7/18/2012,0.2219,,7/18/2012,0.1573,,7/18/2012,0.9640,,7/18/2012,0.9690,,7/18/2012,89.8700,,7/18/2012,-0.7421,,7/18/2012,-0.8117,,7/18/2012,1573.45,,8/31/2012,345.4,,8/31/2012,0.41825,,12/3/2012,0.958,,7/24/2012,84.005,,7/24/2012,84.005,,7/18/2012,1/1/1900,,7/18/2012,78.8
7/19/2012,1.01,,7/19/2012,"2,391.2730",,7/19/2012,"33,013.6400",,7/19/2012,0.2138,,7/19/2012,0.1573,,7/19/2012,0.9810,,7/19/2012,0.9850,,7/19/2012,92.6600,,7/19/2012,-0.7672,,7/19/2012,-0.8277,,7/19/2012,1581.54,,9/4/2012,346.85,,9/3/2012,0.41435,,12/4/2012,0.948,,7/25/2012,83.524,,7/25/2012,83.524,,7/19/2012,1/1/1900,,7/19/2012,78.59
7/20/2012,1.01,,7/20/2012,"2,367.2630",,7/20/2012,"32,892.5500",,7/20/2012,0.2015,,7/20/2012,0.1522,,7/20/2012,0.9570,,7/20/2012,0.9720,,7/20/2012,91.4400,,7/20/2012,-0.7555,,7/20/2012,-0.8198,,7/20/2012,1584.53,,9/5/2012,353.2,,9/4/2012,0.41185,,12/5/2012,0.953,,7/26/2012,82.808,,7/26/2012,82.808,,7/20/2012,1/1/1900,,7/20/2012,78.49
7/23/2012,1.02,,7/23/2012,"2,346.2210",,7/23/2012,"32,674.8800",,7/23/2012,0.2095,,7/23/2012,0.1522,,7/23/2012,0.9270,,7/23/2012,0.9540,,7/23/2012,88.1400,,7/23/2012,-0.7175,,7/23/2012,-0.8018,,7/23/2012,1576.75,,9/6/2012,352.35,,9/5/2012,0.40985,,12/6/2012,0.947,,7/27/2012,82.709,,7/27/2012,82.709,,7/23/2012,1/1/1900,,7/23/2012,78.4
7/24/2012,1.02,,7/24/2012,"2,325.0210",,7/24/2012,"32,471.7400",,7/24/2012,0.2135,,7/24/2012,0.1624,,7/24/2012,0.9290,,7/24/2012,0.9600,,7/24/2012,88.5000,,7/24/2012,-0.7155,,7/24/2012,-0.7976,,7/24/2012,1581.18,,9/7/2012,365.6,,9/6/2012,0.40835,,12/7/2012,0.956,,7/30/2012,82.794,,7/30/2012,82.794,,7/24/2012,1/1/1900,,7/24/2012,78.18
7/25/2012,1.02,,7/25/2012,"2,324.3330",,7/25/2012,"32,544.3000",,7/25/2012,0.2151,,7/25/2012,0.1675,,7/25/2012,0.9630,,7/25/2012,0.9770,,7/25/2012,88.9700,,7/25/2012,-0.7479,,7/25/2012,-0.8095,,7/25/2012,1603.85,,9/10/2012,370,,9/7/2012,0.40775,,12/10/2012,0.959,,7/31/2012,82.635,,7/31/2012,82.635,,7/25/2012,1/1/1900,,7/25/2012,78.16
7/26/2012,1.01,,7/26/2012,"2,362.8470",,7/26/2012,"32,961.2500",,7/26/2012,0.2288,,7/26/2012,0.1675,,7/26/2012,1.0180,,7/26/2012,0.9950,,7/26/2012,89.3900,,7/26/2012,-0.7892,,7/26/2012,-0.8275,,7/26/2012,1615.85,,9/11/2012,371.45,,9/10/2012,0.40425,,12/11/2012,0.958,,8/1/2012,83.058,,8/1/2012,83.058,,7/26/2012,1/1/1900,,7/26/2012,78.21
7/27/2012,1.00,,7/27/2012,"2,408.0680",,7/27/2012,"33,329.9800",,7/27/2012,0.2386,,7/27/2012,0.1675,,7/27/2012,1.1110,,7/27/2012,1.0410,,7/27/2012,90.1300,,7/27/2012,-0.8724,,7/27/2012,-0.8735,,7/27/2012,1623.2,,9/12/2012,371,,9/11/2012,0.39875,,12/12/2012,0.957,,8/2/2012,83.361,,8/2/2012,83.361,,7/27/2012,1/1/1900,,7/27/2012,78.46
7/30/2012,1.00,,7/30/2012,"2,406.9890",,7/30/2012,"33,319.2700",,7/30/2012,0.2229,,7/30/2012,0.1675,,7/30/2012,1.0910,,7/30/2012,1.0590,,7/30/2012,89.7800,,7/30/2012,-0.8681,,7/30/2012,-0.8915,,7/30/2012,1621.96,,9/13/2012,372.7,,9/12/2012,0.39425,,12/13/2012,0.96,,8/3/2012,82.375,,8/3/2012,82.375,,7/30/2012,1/1/1900,,7/30/2012,78.18
7/31/2012,1.00,,7/31/2012,"2,396.6200",,7/31/2012,"33,055.2500",,7/31/2012,0.2113,,7/31/2012,0.1573,,7/31/2012,1.0770,,7/31/2012,1.0560,,7/31/2012,88.0600,,7/31/2012,-0.8657,,7/31/2012,-0.8987,,7/31/2012,1614.58,,9/14/2012,385.15,,9/13/2012,0.38875,,12/14/2012,0.96,,8/6/2012,82.266,,8/6/2012,82.266,,7/31/2012,1/1/1900,,7/31/2012,78.12
8/1/2012,1.01,,8/1/2012,"2,389.7340",,8/1/2012,"32,924.4000",,8/1/2012,0.2271,,8/1/2012,0.1573,,8/1/2012,1.0960,,8/1/2012,1.0560,,8/1/2012,88.9100,,8/1/2012,-0.8689,,8/1/2012,-0.8987,,8/1/2012,1599.58,,9/17/2012,381,,9/14/2012,0.38525,,12/17/2012,0.96,,8/7/2012,82.21,,8/7/2012,82.21,,8/1/2012,1/1/1900,,8/1/2012,78.44
8/2/2012,1.01,,8/2/2012,"2,372.3080",,8/2/2012,"32,606.9200",,8/2/2012,0.2233,,8/2/2012,0.1573,,8/2/2012,1.0650,,8/2/2012,1.0560,,8/2/2012,87.1300,,8/2/2012,-0.8417,,8/2/2012,-0.8987,,8/2/2012,1588.05,,9/18/2012,380.25,,9/17/2012,0.38075,,12/18/2012,0.954,,8/8/2012,82.394,,8/8/2012,82.394,,8/2/2012,1/1/1900,,8/2/2012,78.24
8/3/2012,1.00,,8/3/2012,"2,417.7720",,8/3/2012,"33,049.2400",,8/3/2012,0.2376,,8/3/2012,0.1573,,8/3/2012,1.1200,,8/3/2012,1.0560,,8/3/2012,91.4000,,8/3/2012,-0.8824,,8/3/2012,-0.8987,,8/3/2012,1603.55,,9/19/2012,382.9,,9/18/2012,0.37875,,12/19/2012,0.954,,8/9/2012,82.638,,8/9/2012,82.638,,8/3/2012,1/1/1900,,8/3/2012,78.47
8/6/2012,1.00,,8/6/2012,"2,423.4590",,8/6/2012,"33,049.2400",,8/6/2012,0.2397,,8/6/2012,0.1624,,8/6/2012,1.1190,,8/6/2012,1.0560,,8/6/2012,92.2000,,8/6/2012,-0.8793,,8/6/2012,-0.8936,,8/6/2012,1610.68,,9/20/2012,377.25,,9/19/2012,0.37575,,12/20/2012,0.932,,8/10/2012,82.553,,8/10/2012,82.553,,8/6/2012,1/1/1900,,8/6/2012,78.25
8/7/2012,1.00,,8/7/2012,"2,435.8780",,8/7/2012,"33,618.7200",,8/7/2012,0.2637,,8/7/2012,0.1726,,8/7/2012,1.1730,,8/7/2012,1.1110,,8/7/2012,93.6700,,8/7/2012,-0.9093,,8/7/2012,-0.9384,,8/7/2012,1612.35,,9/21/2012,380.35,,9/20/2012,0.373,,12/21/2012,0.926,,8/13/2012,82.435,,8/13/2012,82.435,,8/7/2012,1/1/1900,,8/7/2012,78.61
8/8/2012,0.99,,8/8/2012,"2,438.1590",,8/8/2012,"33,387.1000",,8/8/2012,0.2718,,8/8/2012,0.1726,,8/8/2012,1.1630,,8/8/2012,1.1200,,8/8/2012,93.3500,,8/8/2012,-0.8912,,8/8/2012,-0.9474,,8/8/2012,1612.55,,9/24/2012,374.55,,9/21/2012,0.36925,,12/27/2012,0.929,,8/14/2012,82.483,,8/14/2012,82.483,,8/8/2012,1/1/1900,,8/8/2012,78.43
