,USDCAD Curncy,S&P 500 Total Return Index,S&P/TSX Composite Total Return Index,USGG2YR Index,USGG12M Index,GCAN2YR Index,GCAN12M Index,CL1 Comdty,XAU Curncy,HG1 Comdty,US0003M Index,GCAN3M Index,DXY Curncy,USDJPY Curncy
2009-03-26,1.2305,1349.373,23193.47,0.9066,0.5548,1.181,0.638,54.34,934.45,184.95,1.23188,0.406,84.165,98.71
2009-03-27,1.2421,1322.187,22767.35,0.9066,0.5629,1.173,0.63,52.38,923.15,183.35,1.22,0.396,85.111,97.86
2009-03-30,1.2624,1276.225,22187.22,0.8434,0.565,1.119,0.632,48.41,917.3,176.6,1.2075,0.4,85.869,97.26
2009-03-31,1.2602,1292.977,22507.7,0.796,0.5425,1.078,0.615,49.66,919.35,184.45,1.19188,0.405,85.43,98.96
2009-04-01,1.26,1314.631,23091.83,0.8038,0.5404,1.071,0.622,48.39,927.4,184.9,1.17688,0.409,85.503,98.53
2009-04-02,1.2376,1352.474,23431.09,0.8829,0.5496,1.12,0.65,52.64,904.05,189,1.16594,0.403,84.446,99.52
2009-04-03,1.2298,1365.663,23424.08,0.9467,0.5751,1.143,0.656,52.51,893.15,200.05,1.16094,0.411,84.165,100.32
2009-04-06,1.2382,1354.36,23295.95,0.9388,0.5649,1.147,0.675,51.05,868.9,195.9,1.15688,0.414,84.571,100.99
2009-04-07,1.2372,1322.912,22805.5,0.9069,0.5373,1.123,0.663,49.15,881.05,199,1.14938,0.412,85.288,100.42
2009-04-08,1.2364,1338.532,23179.02,0.923,0.5835,1.095,0.679,49.38,880.5,199.85,1.13875,0.411,85.361,99.76
2009-04-09,1.2237,1389.487,23741.95,0.9474,0.5835,1.127,0.684,52.24,879.35,207.1,1.13125,0.415,85.786,100.42
2009-04-10,1.2257,1389.487,23741.95,0.9475,0.5855,1.116,0.703,52.24,881.65,#N/A,#N/A,0.43,#N/A,100.25
2009-04-13,1.2199,1393.125,23997.53,0.8669,0.5691,1.108,0.689,50.05,893.85,212.55,#N/A,0.42,84.635,100.1
2009-04-14,1.2153,1365.204,23858.52,0.8427,0.5252,1.096,0.681,49.41,890.45,211.5,1.12188,0.421,84.642,98.98
2009-04-15,1.2033,1382.358,23895.99,0.8508,0.5119,1.126,0.707,49.25,891.03,219.9,1.1125,0.416,85.081,99.37
2009-04-16,1.2073,1403.885,24147.68,0.8992,0.5088,1.124,0.702,49.98,875.65,216.95,1.10688,0.406,85.227,99.28
2009-04-17,1.2132,1410.852,24391.32,0.9643,0.5446,1.16,0.692,50.33,868.85,219.4,1.10188,0.414,85.981,99.16
2009-04-20,1.2391,1350.521,23587.12,0.9075,0.5119,1.112,0.684,45.88,884.5,210.35,1.10063,0.389,86.637,97.89
2009-04-21,1.2357,1379.217,23917.01,0.932,0.5068,1.022,0.553,46.51,883.8,208.7,1.1,0.304,86.579,98.73
2009-04-22,1.2398,1368.916,23999.73,0.9565,0.4823,1.007,0.542,48.85,889.75,205.95,1.09938,0.276,86.191,98.02
2009-04-23,1.2229,1382.519,24337.2,0.924,0.4577,0.989,0.532,49.62,904.28,199.2,1.09188,0.267,85.517,97.96
2009-04-24,1.2096,1405.737,24699.26,0.957,0.473,0.989,0.528,51.55,912.83,205.05,1.0725,0.267,84.714,97.17
2009-04-27,1.2208,1391.58,24299.18,0.8749,0.4628,0.961,0.514,50.14,906.48,198.65,1.05375,0.27,85.696,96.77
2009-04-28,1.2196,1387.824,24189.71,0.9461,0.4832,0.987,0.507,49.92,893.38,191.6,1.03938,0.257,85.158,96.45
2009-04-29,1.2025,1417.99,24378.81,0.9541,0.4608,0.985,0.472,50.97,898,201,1.0275,0.298,84.474,97.66
2009-04-30,1.1925,1416.727,24141.96,0.8987,0.4557,0.988,0.474,51.12,888.2,205.3,1.01625,0.354,84.614,98.63
2009-05-01,1.1852,1424.408,24587.62,0.9068,0.4587,0.991,0.466,53.2,886.55,210.15,1.00688,0.34,84.546,99.12
2009-05-04,1.1724,1472.641,25554.38,0.9387,0.4812,1.015,0.471,54.47,902.15,214.5,#N/A,0.314,83.97,98.8
2009-05-05,1.1751,1467.248,25581.68,0.9627,0.471,1.02,0.465,53.84,897.15,208.45,0.98625,0.335,84.157,98.82
2009-05-06,1.1658,1493.307,26263.63,0.9628,0.5017,1.032,0.465,56.34,911.35,218.85,0.97375,0.331,83.803,98.31
2009-05-07,1.1699,1473.664,25808.71,0.9949,0.5375,1.072,0.465,56.71,910.82,216.55,0.95625,0.338,83.941,99.12
2009-05-08,1.1494,1509.138,26510.29,0.9793,0.5344,1.123,0.466,58.63,916.65,214.7,0.9375,0.319,82.529,98.47
2009-05-11,1.1669,1477.203,26137.79,0.891,0.5088,1.095,0.458,58.5,913.6,209.35,0.92,0.346,82.678,97.49
2009-05-12,1.1627,1475.826,26095.75,0.883,0.514,1.12,0.445,58.85,923.3,209,0.90563,0.312,82.306,96.45
2009-05-13,1.1741,1436.745,25152.55,0.8669,0.4966,1.12,0.447,58.02,926.33,203.7,0.88313,0.256,82.499,95.31
2009-05-14,1.1691,1451.791,25514.78,0.8427,0.471,1.104,0.446,58.62,926.5,203.5,0.85438,0.251,82.279,95.8
2009-05-15,1.1776,1435.482,25301.3,0.8507,0.4659,1.098,0.447,56.34,931.78,202.8,0.82563,0.253,83.024,95.21
2009-05-18,1.1635,1479.24,25301.3,0.9074,0.4823,1.094,0.448,59.03,918.25,207.55,0.785,0.255,82.667,96.31
2009-05-19,1.1558,1476.937,26179.03,0.8831,0.4557,1.108,0.454,59.65,924.98,206.95,0.7525,0.253,81.978,95.98
2009-05-20,1.1418,1469.473,26523.43,0.8343,0.4231,1.11,0.436,62.04,938.65,210.85,0.71625,0.258,80.985,94.88
2009-05-21,1.1374,1445.279,25791.41,0.8587,0.4302,1.146,0.436,61.05,953.78,205.4,0.66125,0.259,80.558,94.41
2009-05-22,1.1195,1443.143,25905.52,0.8831,0.4485,1.152,0.446,61.67,957.35,210.25,0.66,0.258,79.958,94.78
2009-05-25,1.1241,1443.143,26107.65,0.8831,0.4434,1.153,0.447,61.67,958.8,#N/A,#N/A,0.263,80.024,94.83
2009-05-26,1.1164,1481.104,26669.38,0.9159,0.4628,1.205,0.457,62.45,952,214.75,0.66375,0.277,80.131,95.03
2009-05-27,1.1231,1453.281,26312.63,0.9779,0.4659,1.27,0.476,63.45,949.8,211.65,0.67375,0.273,80.332,95.34
2009-05-28,1.1133,1475.938,26964.89,0.9621,0.4516,1.273,0.499,65.08,959.43,213.7,0.6675,0.276,80.433,96.86
2009-05-29,1.0915,1495.969,26909.41,0.9146,0.4424,1.24,0.502,66.31,979.18,219.75,0.65625,0.275,79.348,95.34
2009-06-01,1.0935,1534.653,27518.97,0.9463,0.4404,1.268,0.513,68.58,975.05,231.9,0.65,0.283,79.171,96.59
2009-06-02,1.0812,1537.693,27481.08,0.9464,0.4077,1.23,0.516,68.55,981.85,229.75,0.64625,0.28,78.404,95.77
2009-06-03,1.1104,1516.876,26708.78,0.9068,0.4364,1.162,0.505,66.12,963.05,221.2,0.63688,0.279,79.5,95.99
2009-06-04,1.097,1534.591,27194.95,0.9546,0.4578,1.168,0.53,68.81,980.28,230.1,0.62938,0.325,79.414,96.58
2009-06-05,1.119,1530.817,27439.13,1.2923,0.6039,1.262,0.603,68.44,955.33,228.4,0.6325,0.313,80.67,98.64
2009-06-08,1.1157,1529.588,27391.8,1.398,0.606,1.403,0.643,68.09,951.85,225.3,0.65,0.331,80.909,98.49
2009-06-09,1.1043,1535.032,27389.08,1.3015,0.5283,1.354,0.632,70.01,954.55,236.55,0.6475,0.319,79.787,97.38
2009-06-10,1.1086,1529.758,27520.94,1.3508,0.5293,1.429,0.705,71.33,954.5,236.7,0.63875,0.323,80.329,98.12
2009-06-11,1.1024,1539.502,27842.31,1.3189,0.5088,1.418,0.711,72.68,954.93,244.5,0.62938,0.323,79.41,97.64
2009-06-12,1.119,1541.698,27663.65,1.2638,0.4935,1.4,0.711,72.04,939.3,237.35,0.62438,0.325,80.142,98.44
2009-06-15,1.1334,1505.062,27013.49,1.2236,0.4731,1.394,0.703,70.62,928.3,228.5,0.61438,0.32,81.14,97.84
2009-06-16,1.1355,1485.919,26786.59,1.1833,0.4731,1.371,0.696,70.47,934.8,225.55,0.61313,0.324,80.709,96.39
2009-06-17,1.1318,1483.895,26159.53,1.1593,0.4659,1.297,0.678,71.03,938.6,225.95,0.61,0.273,80.169,95.75
2009-06-18,1.1322,1496.59,26306.51,1.2495,0.4914,1.331,0.681,71.37,933.2,227.2,0.60875,0.268,80.609,96.48
2009-06-19,1.1352,1501.245,26739.12,1.2018,0.473,1.29,0.679,69.55,934.03,225.05,0.61188,0.268,80.264,96.27
2009-06-22,1.1549,1455.541,25559.76,1.1284,0.4577,1.24,0.668,66.93,922.73,213.2,0.61,0.271,80.783,95.87
2009-06-23,1.1496,1458.919,25725.51,1.0959,0.4506,1.244,0.678,69.24,925.9,219.85,0.6075,0.275,79.841,95.22
2009-06-24,1.1576,1468.479,26257.34,1.1964,0.4618,1.265,0.675,68.67,931.43,226.75,0.60438,0.273,80.556,95.67
2009-06-25,1.1546,1499.975,26928.7,1.125,0.4159,1.237,0.658,70.23,939.25,230.15,0.60125,0.269,80.403,95.95
2009-06-26,1.1524,1498.081,27040.48,1.1092,0.4067,1.203,0.647,69.16,939.6,229.35,0.5975,0.267,79.878,95.19
2009-06-29,1.1564,1511.704,27267.14,1.0933,0.4455,1.201,0.645,71.49,937.95,231.25,0.59688,0.263,79.835,96.06
2009-06-30,1.1623,1498.937,27002.03,1.1091,0.4822,1.212,0.562,69.89,926.5,225.8,0.595,0.249,80.133,96.36
